Department,Job Title,Job Area,Standard Hours,Marital Status,Hourly Rate,FULLTIME_IND,Days in Role,days_employed,Years of Service,Job Code,apprenticeship_ind,Pay Group,term_ind,Days Employed When Survey Sent,Days With Company on Submit of Survey,PC,Division,,Job Title,ED & DHS Average Rating,Immediate Supervisor Average Rating,Communication and Campus Average Rating,Department Morale Rating
58-Facility Admin,Guest Relations,Guest Relations,40,S,13.26,1,101,646,1.769863014,200007,0,H7L,1,365,365,148,South Kentucky,Region D,Guest Relations,3.13,3.63,3.5,2
58-Facility Admin,Guest Relations,Guest Relations,40,M,13.17,1,267,267,0.731506849,200007,0,H7L,1,182,182,151,Southeast Indiana,Region I,Guest Relations,2.88,3,3,3
58-Facility Admin,Asst Division Vice President,Other,40,S,0,1,284,466,1.276712329,900277,0,H7L,1,182,186,900,TMS Home Office,Home Office,Asst Division Vice President,5,5,5,5
58-Facility Admin,Business Office Manager,Manager,40,M,22.66,1,183,183,0.501369863,200005,0,H7L,1,90,90,304,Southwest Indiana,Region C,Business Office Manager,5,5,5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,15.35,1,532,532,1.457534247,200006,0,H7L,1,182,182,115,Southeast Indiana,Region I,AP/Payroll Coordinator,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,5,S,12.92,0,407,407,1.115068493,200007,0,H7L,1,182,182,139,North Indiana,Region F,Guest Relations,3.63,4.25,4,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,16.73,1,648,648,1.775342466,200006,0,H7L,1,90,90,418,South Ohio,Region G,AP/Payroll Coordinator,4.63,5,4.5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,16.58,1,685,685,1.876712329,200006,0,H7L,1,365,365,174,Central South Indiana,Region H,AP/Payroll Coordinator,3.43,3.57,3.17,3
58-Facility Admin,Executive Director,Executive Director,40,S,47.12,1,423,423,1.15890411,200002,0,H7L,1,30,30,162,North Central Indiana,Region E,Executive Director,4,4,4,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,19.73,1,506,506,1.38630137,200006,0,H7L,1,365,365,510,North Michigan,Region B,AP/Payroll Coordinator,4.63,4.88,3.83,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,15.35,1,532,532,1.457534247,200006,0,H7L,1,365,365,115,Southeast Indiana,Region I,AP/Payroll Coordinator,5,5,5,5
58-Facility Admin,Payroll Specialist,Finance,40,S,0,1,813,1232,3.375342466,900032,0,8FX,0,90,93,900,TMS Home Office,Home Office,Payroll Specialist,3.88,3.25,4.33,3
58-Facility Admin,Guest Relations,Guest Relations,40,M,13.17,1,267,267,0.731506849,200007,0,H7L,1,90,90,151,Southeast Indiana,Region I,Guest Relations,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,M,13.17,1,267,267,0.731506849,200007,0,H7L,1,30,31,151,Southeast Indiana,Region I,Guest Relations,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,S,16.2,1,187,286,0.783561644,200007,0,H7L,1,182,182,128,North Central Indiana,Region E,Guest Relations,3.5,4.75,3.67,5
58-Facility Admin,Executive Director,Executive Director,40,M,52.24,1,468,468,1.282191781,200002,0,H7L,1,90,90,401,Central Ohio,Region J,Executive Director,4.88,5,5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,15.35,1,532,532,1.457534247,200006,0,H7L,1,365,366,115,Southeast Indiana,Region I,AP/Payroll Coordinator,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,S,13.49,1,248,248,0.679452055,200007,0,H7L,1,30,75,506,North Michigan,Region B,Guest Relations,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,51.27,1,500,500,1.369863014,200002,0,H7L,1,90,90,422,North Ohio,Region A,Executive Director,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,5,S,12.92,0,407,407,1.115068493,200007,0,H7L,1,365,369,139,North Indiana,Region F,Guest Relations,4,4.88,4,4
58-Facility Admin,Assistant BOM,Other,20,M,16.32,0,589,589,1.61369863,200012,0,H7L,1,365,366,160,Central South Indiana,Region H,Assistant BOM,4,4.38,3.83,4
58-Facility Admin,Business Office Manager,Manager,40,S,27.2,1,478,478,1.309589041,200005,0,H7L,1,365,366,146,South Kentucky,Region D,Business Office Manager,4.13,4.25,4,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,16.73,1,648,648,1.775342466,200006,0,H7L,1,182,183,418,South Ohio,Region G,AP/Payroll Coordinator,3.5,4.25,4.17,3
58-Facility Admin,Guest Relations,Guest Relations,40,S,16.2,1,187,286,0.783561644,200007,0,H7L,1,30,30,128,North Central Indiana,Region E,Guest Relations,4.75,4.88,4.17,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,18.23,1,327,327,0.895890411,200006,0,H7L,1,30,57,160,Central South Indiana,Region H,AP/Payroll Coordinator,4.38,4.88,4.33,5
58-Facility Admin,Executive Director,Executive Director,40,S,51.27,1,500,500,1.369863014,200002,0,H7L,1,365,365,422,North Ohio,Region A,Executive Director,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,M,46.71,1,551,551,1.509589041,200002,0,H7L,1,365,365,302,North Indiana,Region F,Executive Director,0,5,4.17,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,17.22,1,331,331,0.906849315,200006,0,H7L,1,30,32,105,Southeast Indiana,Region I,AP/Payroll Coordinator,5,5,5,5
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,18.58,1,321,321,0.879452055,200006,0,H7L,1,90,90,508,North Michigan,Region B,AP/Payroll Coordinator,5,3.13,4.5,3
58-Facility Admin,Executive Director,Executive Director,40,M,55.98,1,854,854,2.339726027,200002,0,H7L,1,90,93,508,North Michigan,Region B,Executive Director,3.88,3.29,4.17,4
58-Facility Admin,Business Office Manager,Manager,40,M,32.82,1,288,2633,7.21369863,200005,1,H7L,0,180,296,504,North Michigan,Region B,Business Office Manager,4,4,4,4
58-Facility Admin,Payroll Specialist,Finance,40,S,0,1,1240,2247,6.156164384,900032,0,8FX,0,90,85,900,TMS Home Office,Home Office,Payroll Specialist,3.88,4.13,4,4
58-Facility Admin,Payroll Specialist,Finance,40,S,0,1,1240,2247,6.156164384,900032,0,8FX,0,180,184,900,TMS Home Office,Home Office,Payroll Specialist,3.88,3.75,4,4
58-Facility Admin,Executive Director,Executive Director,40,M,53.23,1,1290,1290,3.534246575,200002,0,H7L,1,90,98,160,Central South Indiana,Region H,Executive Director,4.38,4.13,4.17,4
58-Facility Admin,Business Office Manager,Manager,40,M,22.3,1,1338,1526,4.180821918,200005,0,H7L,1,30,30,107,Southeast Indiana,Region I,Business Office Manager,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,D,37.92,1,790,1016,2.783561644,200002,0,H7L,1,30,30,167,North Central Indiana,Region E,Executive Director,4.75,0,0,0
58-Facility Admin,Payroll Specialist,Finance,40,S,0,1,1240,2247,6.156164384,900032,0,8FX,0,30,31,900,TMS Home Office,Home Office,Payroll Specialist,4.75,5,4.67,5
58-Facility Admin,Executive Director,Executive Director,40,S,47.24,1,860,1267,3.471232877,200002,0,H7L,1,90,93,501,North Michigan,Region B,Executive Director,5,5,5,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,18.25,1,1248,1248,3.419178082,200006,0,H7L,1,365,394,107,Southeast Indiana,Region I,AP/Payroll Coordinator,3.75,4.13,4.17,4
58-Facility Admin,Executive Director,Executive Director,40,S,52.47,1,1222,1222,3.347945205,200002,0,H7L,1,30,33,503,North Michigan,Region B,Executive Director,0,4,4,5
58-Facility Admin,Executive Director,Executive Director,40,M,48.3,1,821,1186,3.249315068,200002,0,H7L,1,0,192,509,North Michigan,Region B,Executive Director,5,5,5,5
58-Facility Admin,Area Executive Director,Director,40,M,64.82,1,185,1228,3.364383562,200020,0,H7L,1,30,40,503,North Michigan,Region B,Area Executive Director,4.75,4.75,4.33,4
58-Facility Admin,Business Office Manager,Manager,40,M,22.3,1,1338,1526,4.180821918,200005,0,H7L,1,180,183,107,Southeast Indiana,Region I,Business Office Manager,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,5,M,13.79,0,1245,1245,3.410958904,200007,0,H7L,1,90,95,169,North Indiana,Region F,Guest Relations,4.75,4.5,4.5,5
58-Facility Admin,Executive Director,Executive Director,40,S,52.47,1,1222,1222,3.347945205,200002,0,H7L,1,0,177,503,North Michigan,Region B,Executive Director,0,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,5,M,13.79,0,1245,1245,3.410958904,200007,0,H7L,1,180,185,169,North Indiana,Region F,Guest Relations,4,4,3.83,4
58-Facility Admin,Executive Director,Executive Director,40,M,47.46,1,856,856,2.345205479,200002,0,H7L,1,30,28,170,North Indiana,Region F,Executive Director,3.75,4,4,4
58-Facility Admin,Business Office Manager,Manager,40,M,22.3,1,1338,1526,4.180821918,200005,0,H7L,1,90,94,107,Southeast Indiana,Region I,Business Office Manager,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,55.29,1,119,1359,3.723287671,200002,0,H7L,1,180,184,166,Central South Indiana,Region H,Executive Director,4.25,5,4,4
58-Facility Admin,Guest Relations,Guest Relations,5,M,13.79,0,1245,1245,3.410958904,200007,0,H7L,1,365,375,169,North Indiana,Region F,Guest Relations,4,4,3.67,4
58-Facility Admin,Business Office Manager,Manager,40,M,32.82,1,288,2633,7.21369863,200005,1,H7L,0,365,365,504,North Michigan,Region B,Business Office Manager,4,4,4,4
58-Facility Admin,Executive Director,Executive Director,40,S,52.5,1,1092,1092,2.991780822,200002,0,H7L,1,180,184,174,Central South Indiana,Region H,Executive Director,5,5,5,4
58-Facility Admin,Executive Director,Executive Director,40,D,37.92,1,790,1016,2.783561644,200002,0,H7L,1,365,369,167,North Central Indiana,Region E,Executive Director,4.88,5,4.83,4
58-Facility Admin,Area Executive Director,Director,40,M,64.82,1,185,1228,3.364383562,200020,0,H7L,1,90,119,503,North Michigan,Region B,Area Executive Director,5,5,5,5
58-Facility Admin,Guest Relations,Guest Relations,40,S,13.26,1,101,646,1.769863014,200007,0,H7L,1,30,-90,148,South Kentucky,Region D,Guest Relations,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,M,48.3,1,821,1186,3.249315068,200002,0,H7L,1,90,93,509,North Michigan,Region B,Executive Director,4.86,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,52.47,1,1222,1222,3.347945205,200002,0,H7L,1,90,105,503,North Michigan,Region B,Executive Director,4.25,4.5,4,5
58-Facility Admin,Executive Director,Executive Director,40,M,53.23,1,1290,1290,3.534246575,200002,0,H7L,1,180,188,160,Central South Indiana,Region H,Executive Director,4.25,4,4.17,4
58-Facility Admin,Executive Director,Executive Director,40,D,37.92,1,790,1016,2.783561644,200002,0,H7L,1,180,183,167,North Central Indiana,Region E,Executive Director,4.88,5,4.83,5
58-Facility Admin,Executive Director,Executive Director,40,S,52.47,1,1222,1222,3.347945205,200002,0,H7L,1,365,367,503,North Michigan,Region B,Executive Director,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,S,47.24,1,860,1267,3.471232877,200002,0,H7L,1,180,192,501,North Michigan,Region B,Executive Director,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,M,27.24,1,665,965,2.643835616,200002,0,H7L,1,365,370,152,Central South Indiana,Region H,Executive Director,5,5,4.33,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,S,18.25,1,1248,1248,3.419178082,200006,0,H7L,1,0,507,107,Southeast Indiana,Region I,AP/Payroll Coordinator,4.25,4.25,4,5
58-Facility Admin,Executive Director,Executive Director,40,M,47.46,1,856,856,2.345205479,200002,0,H7L,1,0,90,170,North Indiana,Region F,Executive Director,4.5,4.75,4,4
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,18.69,1,1105,1470,4.02739726,200006,0,H7L,1,90,93,505,North Michigan,Region B,AP/Payroll Coordinator,2.5,3.13,2.83,3
58-Facility Admin,Executive Director,Executive Director,40,M,55.98,1,854,854,2.339726027,200002,0,H7L,1,0,370,508,North Michigan,Region B,Executive Director,4.75,3.5,4.67,4
58-Facility Admin,Executive Director,Executive Director,40,M,40.87,1,227,227,0.621917808,200002,0,H7L,1,182,183,185,North Indiana,Region F,Executive Director,4,4.25,3.67,3
58-Facility Admin,Executive Director,Executive Director,40,M,40.87,1,227,227,0.621917808,200002,0,H7L,1,182,183,185,North Indiana,Region F,Executive Director,4,4.25,3.67,3
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,18.58,1,321,321,0.879452055,200006,0,H7L,1,182,182,508,North Michigan,Region B,AP/Payroll Coordinator,2.75,2.13,3.5,2
58-Facility Admin,AP/Payroll Coordinator,Finance,40,M,18.58,1,321,321,0.879452055,200006,0,H7L,1,182,183,508,North Michigan,Region B,AP/Payroll Coordinator,2.75,2.13,3.5,2
58-Facility Admin,Business Office Manager,Manager,40,S,23.5,1,68,68,0.18630137,200005,0,H7L,1,30,30,134,North Central Indiana,Region E,Business Office Manager,5,5,5,5
58-Facility Admin,Executive Director,Executive Director,40,M,40.87,1,227,227,0.621917808,200002,0,H7L,1,182,183,185,North Indiana,Region F,Executive Director,4,4.25,3.67,3
58-Fac Admin,Assistant BOM,Other,20,M,13.5,0,452,452,1.238356164,200012,0,H7L,1,182,253,107,Southeast Indiana,Region I,Assistant BOM,4.88,5,4,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,18.78,1,213,249,0.682191781,200006,0,H7L,1,182,185,175,South Kentucky,Region D,AP/Payroll Coordinator,3.75,4.88,3.5,3
58-Fac Admin,Business Office Manager,Manager,40,M,29.78,1,1064,1064,2.915068493,200005,1,H7L,0,365,368,175,South Kentucky,Region D,Business Office Manager,2.88,2.88,3.83,2
58-Fac Admin,Executive Director,Executive Director,40,M,49.5,1,939,939,2.57260274,200002,0,H7L,0,30,30,170,North Indiana,Region F,Executive Director,0,4.6,3.83,4
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,23.95,1,868,868,2.378082192,200006,1,H7L,0,30,37,508,North Michigan,Region B,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,18,1,373,476,1.304109589,200006,1,H7L,1,182,182,434,South Ohio,Region G,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,19.88,1,1022,1022,2.8,200006,1,H7L,0,182,182,427,North Ohio,Region A,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,Administrator in Training,Other,40,S,24.76,1,418,418,1.145205479,200004,0,H7L,1,30,30,429,Central Ohio,Region J,Administrator in Training,5,5,5,0
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,15.83,1,333,333,0.912328767,200006,0,H7L,1,182,182,409,Central Ohio,Region J,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,Administrator,Other,40,M,38.96,1,261,806,2.208219178,200003,0,8FQ,0,90,90,224,South Kentucky,Region D,Administrator,4.75,5,5,5
58-Fac Admin,Business Office Manager,Manager,40,S,28.91,1,432,700,1.917808219,200005,1,H7L,1,90,90,132,North Indiana,Region F,Business Office Manager,5,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,M,53.94,1,547,547,1.498630137,200002,0,H7L,0,90,90,171,Central South Indiana,Region H,Executive Director,4.88,4.88,5,5
58-Fac Admin,Business Office Manager,Manager,40,M,29.78,1,1064,1064,2.915068493,200005,1,H7L,0,0,0,175,South Kentucky,Region D,Business Office Manager,5,5,0,0
58-Fac Admin,Administrator in Training,Other,40,N,28.69,1,512,512,1.402739726,200004,0,H7L,0,182,182,106,North Central Indiana,Region E,Administrator in Training,5,5,5,4
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,19.55,1,707,707,1.936986301,200006,1,H7L,0,30,30,401,Central Ohio,Region J,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,24.32,1,707,7659,20.98356164,200006,1,H7L,0,30,6982,154,South Kentucky,Region D,AP/Payroll Coordinator,4,4.88,4.5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,17.68,1,434,434,1.189041096,200006,1,H7L,0,182,184,120,Southeast Indiana,Region I,AP/Payroll Coordinator,4.86,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,N,44.73,1,114,505,1.383561644,200002,0,H7L,0,365,365,126,South Kentucky,Region D,Executive Director,5,5,4.5,4
58-Fac Admin,Executive Director,Executive Director,40,S,48.49,1,617,617,1.690410959,200002,0,H7L,0,365,365,305,Southwest Indiana,Region C,Executive Director,4.63,4.63,4.67,4
58-Fac Admin,Business Office Manager,Manager,40,M,25.98,1,305,305,0.835616438,200005,1,H7L,1,30,30,421,South Ohio,Region G,Business Office Manager,4.75,5,4.5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,17.38,1,198,198,0.542465753,200006,1,H7L,1,30,55,145,South Kentucky,Region D,AP/Payroll Coordinator,3.5,4.75,3.83,2
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,21.18,1,578,578,1.583561644,200006,1,H7L,0,0,518,438,South Ohio,Region G,AP/Payroll Coordinator,1,5,0,0
58-Fac Admin,AP/Payroll Coordinator,Finance,40,D,21.65,1,757,757,2.073972603,200006,1,H7L,0,365,365,505,North Michigan,Region B,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,Assistant BOM,Other,40,S,20.8,1,199,199,0.545205479,200012,1,H7L,1,90,90,127,South Kentucky,Region D,Assistant BOM,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,23.95,1,868,868,2.378082192,200006,1,H7L,0,182,182,508,North Michigan,Region B,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,17,1,390,390,1.068493151,200006,1,H7L,1,365,366,149,Southeast Indiana,Region I,AP/Payroll Coordinator,1.5,1.75,2.17,1
58-Fac Admin,Social Services Assistant,Other,40,M,19.36,1,63,644,1.764383562,200011,1,H7L,1,30,72,107,Southeast Indiana,Region I,Social Services Assistant,4.5,4.25,4.5,4
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,17.68,1,434,434,1.189041096,200006,1,H7L,0,182,182,120,Southeast Indiana,Region I,AP/Payroll Coordinator,4.86,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,M,55.57,1,708,708,1.939726027,200002,0,H7L,0,30,30,508,North Michigan,Region B,Executive Director,4.86,4.71,4.83,5
58-Fac Admin,Authorization Reimbursement Co,Other,40,M,0,1,83,769,2.106849315,900474,1,8FX,0,182,182,900,TMS Home Office,Home Office,Authorization Reimbursement Co,4.38,4.13,4.17,4
58-Fac Admin,Executive Director,Executive Director,40,M,56.22,1,606,606,1.660273973,200002,0,H7L,1,365,365,140,North Indiana,Region F,Executive Director,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,D,21.65,1,757,757,2.073972603,200006,1,H7L,0,90,90,505,North Michigan,Region B,AP/Payroll Coordinator,5,5,4.83,5
58-Fac Admin,Executive Director,Executive Director,40,S,52.89,1,197,197,0.539726027,200002,0,H7L,1,182,182,401,Central Ohio,Region J,Executive Director,5,5,4,4
58-Fac Admin,Executive Director,Executive Director,40,M,46.95,1,470,470,1.287671233,200002,1,H7L,0,182,182,429,Central Ohio,Region J,Executive Director,5,5,5,4
58-Fac Admin,Executive Director,Executive Director,40,S,47.35,1,606,606,1.660273973,200002,0,H7L,1,365,368,422,North Ohio,Region A,Executive Director,4.88,4.63,4,2
58-Fac Admin,Executive Director,Executive Director,40,D,58.09,1,483,483,1.323287671,200002,0,H7L,1,30,30,175,South Kentucky,Region D,Executive Director,4.75,4.88,4.33,4
58-Fac Admin,Business Office Manager,Manager,40,N,25.26,1,454,454,1.243835616,200005,1,H7L,0,182,182,150,Southeast Indiana,Region I,Business Office Manager,3.5,3.5,3,3
58-Fac Admin,Business Office Manager,Manager,40,S,21.48,1,313,313,0.857534247,200005,1,H7L,1,90,90,136,North Central Indiana,Region E,Business Office Manager,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,20.15,1,208,208,0.569863014,200006,1,H7L,1,90,105,416,Central Ohio,Region J,AP/Payroll Coordinator,4.29,3.5,3.67,4
58-Fac Admin,Business Office Manager,Manager,40,M,29,1,483,483,1.323287671,200005,1,H7L,1,182,182,185,North Indiana,Region F,Business Office Manager,2.75,2.88,4,3
58-Fac Admin,AP/Payroll Coordinator,Finance,40,S,20.19,1,657,657,1.8,200006,1,H7L,0,90,90,149,Southeast Indiana,Region I,AP/Payroll Coordinator,4.88,5,4.17,4
58-Fac Admin,AP/Payroll Coordinator,Finance,40,D,21.65,1,757,757,2.073972603,200006,1,H7L,0,182,182,505,North Michigan,Region B,AP/Payroll Coordinator,5,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,M,45.67,1,96,404,1.106849315,200002,0,H7L,1,90,90,508,North Michigan,Region B,Executive Director,5,5,5,5
58-Fac Admin,Business Office Manager,Manager,40,M,27.61,1,181,181,0.495890411,200005,0,H7L,1,90,90,185,North Indiana,Region F,Business Office Manager,3.5,3.38,3.83,4
58-Fac Admin,Administrator in Training,Other,40,N,28.19,1,505,505,1.383561644,200004,1,H7L,0,30,31,135,North Central Indiana,Region E,Administrator in Training,4.88,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,D,58.24,1,1142,1142,3.128767123,200002,0,H7L,0,182,182,408,North Ohio,Region A,Executive Director,5,5,5,5
58-Fac Admin,Business Office Manager,Manager,40,M,23.35,1,1318,1318,3.610958904,200005,1,H7L,1,365,366,167,North Central Indiana,Region E,Business Office Manager,4.63,4.88,5,5
58-Fac Admin,Executive Director,Executive Director,40,S,50.33,1,751,751,2.057534247,200002,0,H7L,1,182,182,160,Central South Indiana,Region H,Executive Director,5,5,5,5
58-Fac Admin,AP/Payroll Coordinator,Finance,40,M,18.2,1,1393,1592,4.361643836,200006,1,H7L,0,0,-50,424,North Ohio,Region A,AP/Payroll Coordinator,5,5,4.5,5
58-Fac Admin,Executive Director,Executive Director,40,M,50.51,1,1381,1954,5.353424658,200002,0,H7L,0,0,183,118,Southeast Indiana,Region I,Executive Director,4.75,4.13,4.67,4
58-Fac Admin,Business Office Manager,Manager,40,S,30.31,1,1671,1671,4.578082192,200005,1,H7L,0,0,183,427,North Ohio,Region A,Business Office Manager,5,5,5,5
58-Fac Admin,Executive Director,Executive Director,40,M,58.26,1,1688,1688,4.624657534,200002,0,H7L,0,0,90,425,South Ohio,Region G,Executive Director,0,5,5,5
